date_time_execution,cod_metric,cod_original_query,cod_noise_kind,cod_search_context,value,qtd_judment_assumed_zero_relevance
2021-11-22 10:40:59,DCG@10,141630,2,4,6.671992939131519,0
2021-11-22 10:40:59,DCG@10,156498,2,4,5.392789260714372,0
2021-11-22 10:40:59,DCG@10,169208,2,4,7.042682917905673,0
2021-11-22 10:40:59,DCG@10,174463,2,4,2.3333333333333335,0
2021-11-22 10:40:59,DCG@10,258062,2,4,7.0,0
2021-11-22 10:40:59,DCG@10,324585,2,4,4.4165082750002025,1
2021-11-22 10:40:59,DCG@10,330975,2,4,5.868423001896077,0
2021-11-22 10:40:59,DCG@10,332593,2,4,12.381404632290026,0
2021-11-22 10:40:59,DCG@10,336901,2,4,5.607209969647869,0
2021-11-22 10:40:59,DCG@10,390360,2,4,12.513006339229124,0
2021-11-22 10:40:59,DCG@10,405163,2,4,23.974999839815005,0
2021-11-22 10:40:59,DCG@10,555530,2,4,0.0,0
2021-11-22 10:40:59,DCG@10,583468,2,4,28.842476087362982,0
2021-11-22 10:40:59,DCG@10,640502,2,4,6.909958584756358,0
2021-11-22 10:40:59,DCG@10,673670,2,4,0.0,0
2021-11-22 10:40:59,DCG@10,701453,2,4,20.571811044648925,0
2021-11-22 10:40:59,DCG@10,730539,2,4,7.130406836286026,0
2021-11-22 10:40:59,DCG@10,768208,2,4,13.756541335744952,0
2021-11-22 10:40:59,DCG@10,877809,2,4,9.749502597328034,0
2021-11-22 10:40:59,DCG@10,911232,2,4,3.3606447887098185,0
2021-11-22 10:40:59,DCG@10,914916,2,4,22.082492347694945,0
2021-11-22 10:40:59,DCG@10,938400,2,4,1.0,0
2021-11-22 10:40:59,DCG@10,940547,2,4,4.404824089087867,0
2021-11-22 10:40:59,DCG@10,997622,2,4,24.781481608828656,0
2021-11-22 10:40:59,DCG@10,1030303,2,4,18.988698449504877,0
2021-11-22 10:40:59,DCG@10,1037496,2,4,12.682900853922357,0
2021-11-22 10:40:59,DCG@10,1043135,2,4,16.931244181513954,0
2021-11-22 10:40:59,DCG@10,1051399,2,4,0.0,0
2021-11-22 10:40:59,DCG@10,1064670,2,4,6.851549105871336,0
2021-11-22 10:40:59,DCG@10,1071750,2,4,7.29679459789417,0
2021-11-22 10:40:59,DCG@10,1105792,2,4,7.160842233423906,0
2021-11-22 10:40:59,DCG@10,1106979,2,4,14.047443976490056,0
2021-11-22 10:40:59,DCG@10,1108651,2,4,9.107209969647869,0
2021-11-22 10:40:59,DCG@10,1109707,2,4,17.206376925249433,0
2021-11-22 10:40:59,DCG@10,1110678,2,4,2.6215002696767944,0
2021-11-22 10:40:59,DCG@10,1113256,2,4,18.115233019013786,0
2021-11-22 10:40:59,DCG@10,1115210,2,4,2.0616063116448506,0
2021-11-22 10:40:59,DCG@10,1116380,2,4,0.0,0
2021-11-22 10:40:59,DCG@10,1121353,2,4,3.9270644656386358,0
2021-11-22 10:40:59,DCG@10,1122767,2,4,18.955021522270137,0
2021-11-22 10:40:59,DCG@10,1127540,2,4,24.85095377562896,0
2021-11-22 10:40:59,DCG@10,1131069,2,4,7.0,0
2021-11-22 10:40:59,DCG@10,1132532,2,4,1.5900948219818691,0
2021-11-22 10:40:59,DCG@10,1133579,2,4,5.473947265522557,0
2021-11-22 10:40:59,DCG@10,1136043,2,4,10.370962173829778,0
2021-11-22 10:40:59,DCG@10,1136047,2,4,4.731973151785931,0
2021-11-22 10:40:59,DCG@10,1136962,2,4,24.264346434727205,0
2021-11-22 10:40:59,nDCG@10,23849,2,4,0.05490162180062975,0
2021-11-22 10:40:59,nDCG@10,42255,2,4,0.37291464931616275,0
2021-11-22 10:40:59,nDCG@10,47210,2,4,0.8662197873089202,0
2021-11-22 10:40:59,nDCG@10,67316,2,4,0.27246345699710156,0
2021-11-22 10:40:59,nDCG@10,118440,2,4,0.09478836436955079,2
2021-11-22 10:40:59,nDCG@10,121171,2,4,0.07336392209936006,9
2021-11-22 10:40:59,nDCG@10,135802,2,4,0.8630084885045989,0
2021-11-22 10:40:59,nDCG@10,141630,2,4,0.3310440361812822,0
2021-11-22 10:40:59,nDCG@10,156498,2,4,0.3408937879601314,0
